연도,대상사고 구분명,법정동코드,사고건수,사고건수 구성비,사망자수,사망자수 구성비,치사율,부상자수,부상자수 구성비
2010,전체,1100,41662,18.36,429,7.79,1.03,59718,16.94
2010,어린이사고,1100,1930,13.69,14,11.11,0.73,2154,12.54
2010,노인사고,1100,3528,13.67,125,7.13,3.54,3584,13.08
2010,보행자사고,1100,10946,21.7,228,10.95,2.08,11233,22.07
2010,자전거사고,1100,998,37.48,12,16.44,1.2,1036,37.93
2010,야간사고,1100,21889,19.69,239,7.98,1.09,32801,18.88
2010,어린이보행사고,1100,1101,16.68,11,13.92,1,1118,16.69
2010,스쿨존내어린이사고,1100,113,15.42,3,33.33,2.65,116,15.26
2010,고령운전사고,1100,2337,18.51,31,5.67,1.33,3279,17.57
2010,고령보행사고,1100,1652,18.78,95,9.83,5.75,1569,19.8
2010,뺑소니사고,1100,1367,11.65,22,8.12,1.61,2282,12.11
2010,무면허사고,1100,1004,11.31,13,3.36,1.29,1441,10.86
2010,전체,1101,1436,0.64,19,0.35,1.32,2009,0.58
2010,어린이사고,1101,33,0.23,0,0,0,40,0.23
2010,노인사고,1101,139,0.54,7,0.4,5.04,140,0.51
2010,보행자사고,1101,380,0.75,13,0.62,3.42,384,0.75
2010,자전거사고,1101,14,0.53,0,0,0,14,0.51
2010,야간사고,1101,732,0.66,10,0.33,1.37,1046,0.6
2010,어린이보행사고,1101,19,0.29,0,0,0,19,0.28
2010,스쿨존내어린이사고,1101,4,0.55,0,0,0,4,0.53
2010,고령운전사고,1101,110,0.87,0,0,0,160,0.86
2010,고령보행사고,1101,62,0.7,6,0.62,9.68,57,0.72
2010,뺑소니사고,1101,30,0.26,2,0.74,6.67,53,0.28
2010,무면허사고,1101,29,0.33,0,0,0,42,0.32
2010,전체,1102,1540,0.69,7,0.13,0.45,2152,0.62
2010,어린이사고,1102,23,0.16,0,0,0,25,0.15
2010,노인사고,1102,124,0.48,2,0.11,1.61,132,0.48
2010,보행자사고,1102,360,0.71,2,0.1,0.56,371,0.73
